id,serial,modelo,precio_costo_usd,envios_repuestos,precio_venta_usd,sucursal,condicion,procesador,slots,tipo_ram,ram,ssd,hdd,so,pantalla,resolucion,placa_video,vram,teclado_retro,idioma_teclado,color,bateria,duracion,garantia_update,garantia_oficial,fallas,disponible,ingreso,created_at,updated_at,marca,refresh,touchscreen
106,,Dell Latitude 7410,115,0,,LA PLATA,REPARACION,i5-10310U,,DDR4,16GB,256GB,,WIN 11 ,14'',FHD,Intel UHD Graphics,1GB,SI,Español,Gris ,53%,,3 meses,,#N/A,TRUE,,,,Dell,,FALSE
107,N8N0CV00776931B,Asus VivoBook X1502ZA,383,67,500,LA PLATA,REPARACION,i7-1260P,,DDR4,16GB,512GB,,WIN 11 ,"15,6''",FHD,Intel UHD Graphics,,SI,Español,Gris,87%,,3 meses,,,TRUE,,,,Dell,,FALSE
108,C02DT67WML85,MacBook Pro A2251 (97),27,0,,RSN/IDM/FIXCENTER,REPARACION,"i7 2,3 Hz 4C",,,,,,,,,,,,,,,,3 meses,,"Pantalla rota, no tiene botón de encendido, no pasa del logo de Apple.",TRUE,,,,Asus,,FALSE
109,...I000391,Gateway GGNC51518,500,0,650,LA PLATA,REPARACION,i5-11400H,,DDR4,16GB,512GB,2XM2,WIN10,"15,6'' 120Hz",FHD,NVIDIA RTX 3050,4GB,SI,Ingles,Black,100%,,6 meses,,Bateria nula,TRUE,,,,Apple,,FALSE
110,...L000706,Gateway GWCC51416 2-in-1,250,0,400,LA PLATA,REPARACION,i5-1035G1,,LPDDR4,8GB,256GB,,WIN11,14'' Touch,FHD,Intel UHD Graphics 920,,NO,Ingles,Charcoal Gray,100%,,6 meses,,No da imagen,TRUE,,,,Gateway,,FALSE
111,MP1NM5ZQ,Lenovo IdeaPad S340 15-TOUCH,240,0,400,LA PLATA,REPARACION,i3-1005G1,,DDR4,8GB,256GB,1xM2 - 1x2.5,WIN 10,"15,6'' Touch",FHD,,,,Ingles,Onyx Black,100%,,6 meses,,"No enciende, bateria nula",TRUE,,,,Gateway,,FALSE
112,MP1NPPV3,Lenovo IdeaPad S340 15-TOUCH,240,55,400,LA PLATA,REPARACION,i3-1005G1,,DDR4,20GB,256GB,500GB,WIN 10,"15,6'' Touch",FHD,,,,Ingles,Onyx Black,100%,,6 meses,,Bateria nula,TRUE,,,,Lenovo,,FALSE
113,7GHWN73,Dell Latitude 5411 (24) (FERNANDO),169,0,300,MITRE,PRESTADA,i7-10850H,2,DDR4,16GB,256GB,,10 PRO,14'',FHD,Comet Lake-H GT2,1GB,SI,Español,Plateada,66%,6-7HS,3 meses,,detalles esteticos notables en la tapa,TRUE,,,,Lenovo,,FALSE
114,PF3WPDL9,Lenovo ThinkPad X1 Carbon G9 (YAEL),343,91,650,LA PLATA,USO OFICINA,i5-1145G7,,LPDDR4,16GB,256GB,,WIN10,14'',1900x1200,Intel Iris Xe Graphics,2GB,SI,Ingles,Negra,96%,,3 meses,,No levanta HDMI.,TRUE,,,,Dell,,FALSE
115,5SD7KH2,MINIPC Dell Optiplex 7040 (RAMA),110,22,170,LA PLATA,USO OFICINA,i5-6500T,2,DDR4,8GB,256GB,,10 PRO,,FHD,Intel HD Graphics 530,,-,-,Negra,0%,-,3 meses,,,TRUE,,,,Lenovo,,FALSE
116,1L502X2,Dell Latitude 5490 5L5 (MALE),240,0,300,MITRE,USO OFICINA,i7-8650U,,DDR4,16GB,256GB,,10 PRO,14'',FULL HD,Intel UHD Graphics 620,,NO,Español,Negra,20%,1-2HS,3 meses,,"hdmi no funciona, ok",TRUE,,,,Dell,,FALSE
117,97BWN73,Dell Latitude 5411 (SOPORTE),126,0,350,LA PLATA,USO OFICINA,i7-10850H,2,DDR4,16GB,256GB,,10 PRO,14'',FHD,Comet Lake-H GT2,1GB,SI,Español,Plateada,69%,4-5HS,3 meses,,tecla shift partida al medio,TRUE,,,,Dell,,FALSE
118,7CHWN73,Dell Latitude 5411 (16) (ALVARO),126,0,300,LA PLATA,USO OFICINA,i7-10850H,2,DDR4,32GB,256GB,,10 PRO,14'',FHD,Comet Lake-H GT2,1GB,SI,Español,Plateada,,,3 meses,,"No camara/audio/mic, y el bluetooth tiene un funcionamiento no egemonico/normativo",TRUE,,,,Dell,,FALSE
119,31,MINIPC Dell Optiplex 3050,46,10,110,LA PLATA,SIN REPARACION,i3-7100T,2,DDR4,8GB,240GB,,10 PRO,-,,Intel HD Graphics 630,1GB,-,-,Negra,,-,3 meses,,#N/A,TRUE,,,,Dell,,FALSE
120,C02DT680ML85,MacBook Pro A2251 (98),27,0,,LA PLATA,SIN REPARACION,,,,,,,,,,,,,,,,,3 meses,,,TRUE,,,,Dell,,FALSE
121,C02TW198HV2F,MacBook Pro A1708 (3),27,0,,LA PLATA,SIN REPARACION,,,,,,,,,,,,,,,,,3 meses,,Pantalla rota.,TRUE,,,,Apple,,FALSE
